City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mandalgovi,MN,2021-11-22 17:14:33,45.7625,106.2708,17.53,40,1,7.7
59,Luderitz,NA,2021-11-22 17:14:33,-26.6481,15.1594,64.38,80,0,18.88
60,Piacabucu,BR,2021-11-22 17:14:34,-10.4056,-36.4344,86.29,59,41,13.94
61,Maroua,CM,2021-11-22 17:13:52,10.591,14.3159,86.05,19,55,3.83
62,Rabo De Peixe,PT,2021-11-22 17:14:34,37.8,-25.5833,69.28,98,20,18.41
63,Jamestown,US,2021-11-22 17:14:34,42.097,-79.2353,33.39,51,90,10.0
64,Faya,SA,2021-11-22 17:14:35,18.3851,42.4509,61.32,60,19,3.06
65,Karratha,AU,2021-11-22 17:14:35,-20.7377,116.8463,79.48,64,100,10.2
66,Upernavik,GL,2021-11-22 17:14:35,72.7868,-56.1549,3.83,89,81,6.04
67,Tasiilaq,GL,2021-11-22 17:14:36,65.6145,-37.6368,26.76,64,86,6.11
68,Los Llanos De Aridane,ES,2021-11-22 17:14:36,28.6585,-17.9182,69.55,74,75,5.01
69,Tanout,NE,2021-11-22 17:14:36,14.9709,8.8879,88.07,13,1,8.86
70,Dikson,RU,2021-11-22 17:14:37,73.5069,80.5464,-16.74,83,97,15.5
71,Cherdyn,RU,2021-11-22 17:14:37,60.403,56.4787,19.51,95,100,6.42
72,Kapaa,US,2021-11-22 17:14:37,22.0752,-159.319,75.52,82,40,11.5
73,Qaqortoq,GL,2021-11-22 17:14:37,60.7167,-46.0333,27.1,85,63,5.03
74,Oriximina,BR,2021-11-22 17:12:18,-1.7656,-55.8661,87.93,65,83,1.7
75,Lavrentiya,RU,2021-11-22 17:14:38,65.5833,-171.0,-4.27,95,8,9.04
76,Longyearbyen,SJ,2021-11-22 17:14:38,78.2186,15.6401,8.44,66,20,14.97
77,Sedalia,US,2021-11-22 17:14:38,38.7045,-93.2283,41.86,39,1,3.44
78,Torbay,CA,2021-11-22 17:14:39,47.6666,-52.7314,44.76,73,9,4.0
79,Georgetown,MY,2021-11-22 17:10:59,5.4112,100.3354,79.9,92,20,0.0
80,Goure,NE,2021-11-22 17:14:39,13.9835,10.2704,89.02,14,14,8.86
81,Ostersund,SE,2021-11-22 17:14:39,63.1792,14.6357,36.05,87,90,28.77
82,Wamba,NG,2021-11-22 17:14:40,8.9333,8.6,84.27,30,100,1.79
83,Port Elizabeth,ZA,2021-11-22 17:14:40,-33.918,25.5701,66.09,89,99,15.77
84,Port Macquarie,AU,2021-11-22 17:14:40,-31.4333,152.9167,64.36,94,75,5.75
85,Caravelas,BR,2021-11-22 17:14:41,-17.7125,-39.2481,71.64,89,100,7.31
86,Bredasdorp,ZA,2021-11-22 17:14:41,-34.5322,20.0403,65.28,76,100,11.41
87,Naze,JP,2021-11-22 17:14:41,28.3667,129.4833,60.44,69,100,16.91
88,Lapao,BR,2021-11-22 17:14:41,-11.3833,-41.8319,91.04,29,99,6.17
89,Homer,US,2021-11-22 17:14:42,59.6425,-151.5483,10.27,79,1,6.91
90,East London,ZA,2021-11-22 17:13:51,-33.0153,27.9116,69.53,90,100,8.66
91,Cabo San Lucas,MX,2021-11-22 17:12:19,22.8909,-109.9124,79.52,65,40,0.0
92,Tekeli,KZ,2021-11-22 17:15:42,44.83,78.8239,32.27,81,100,9.69
93,Ilulissat,GL,2021-11-22 17:15:42,69.2167,-51.1,21.22,68,75,3.44
94,Kirkwall,GB,2021-11-22 17:15:43,58.9848,-2.9587,47.97,86,75,19.57
95,Bluff,NZ,2021-11-22 17:15:43,-46.6,168.3333,49.48,66,81,6.78
96,Chuy,UY,2021-11-22 17:15:43,-33.6971,-53.4616,92.34,23,14,14.61
97,Emba,KZ,2021-11-22 17:15:44,48.8264,58.1442,39.18,92,100,20.74
98,Hithadhoo,MV,2021-11-22 17:15:44,-0.6,73.0833,82.49,75,100,12.33
99,Yulara,AU,2021-11-22 17:15:44,-25.2406,130.9889,64.24,94,90,11.5
100,Waipawa,NZ,2021-11-22 17:15:45,-41.4122,175.5153,52.45,84,81,4.36
101,Labrea,BR,2021-11-22 17:15:45,-7.2586,-64.7981,74.28,98,100,2.57
102,Arraial Do Cabo,BR,2021-11-22 17:15:45,-22.9661,-42.0278,76.96,53,0,16.11
103,Bengkulu,ID,2021-11-22 17:15:45,-3.8004,102.2655,76.01,89,100,3.56
104,Souillac,MU,2021-11-22 17:15:46,-20.5167,57.5167,77.38,78,40,3.44
105,Necochea,AR,2021-11-22 17:15:46,-38.5473,-58.7368,67.03,49,68,23.87
106,Nikolskoye,RU,2021-11-22 17:15:46,59.7035,30.7861,28.02,83,50,3.51
107,Bambous Virieux,MU,2021-11-22 17:15:47,-20.3428,57.7575,77.25,78,40,3.44
108,Sann,PK,2021-11-22 17:15:47,26.0418,68.1378,60.71,16,1,1.7
109,Ponta Do Sol,PT,2021-11-22 17:15:47,32.6667,-17.1,73.0,69,16,10.96
110,Tiszafoldvar,HU,2021-11-22 17:15:48,46.9833,20.25,46.71,81,0,4.61
111,San Francisco,US,2021-11-22 17:15:48,37.7749,-122.4194,63.52,69,1,3.0
112,Sao Joao Da Barra,BR,2021-11-22 17:15:48,-21.6403,-41.0511,77.09,64,25,8.95
113,Puerto Carreno,CO,2021-11-22 17:15:48,6.189,-67.4859,90.36,50,52,4.47
114,Pisco,PE,2021-11-22 17:14:42,-13.7,-76.2167,67.01,82,90,6.91
115,Roald,NO,2021-11-22 17:15:49,62.5833,6.1333,45.91,81,40,12.66
116,Porto Novo,BJ,2021-11-22 17:15:49,6.4965,2.6036,78.62,72,100,7.74
117,Anadyr,RU,2021-11-22 17:15:49,64.75,177.4833,-8.9,77,20,11.18
118,Mitu,CO,2021-11-22 17:15:50,1.1983,-70.1733,91.78,46,94,2.21
119,Kavaratti,IN,2021-11-22 17:15:50,10.5669,72.642,81.16,76,10,6.06
120,Bozeman,US,2021-11-22 17:15:30,45.6796,-111.0386,45.82,54,6,1.01
121,Vaini,TO,2021-11-22 17:15:51,-21.2,-175.2,69.96,94,20,3.44
122,Lebu,CL,2021-11-22 17:15:51,-37.6167,-73.65,60.73,73,97,18.63
123,Pechenga,RU,2021-11-22 17:15:51,69.5259,31.1703,14.86,93,96,5.68
124,Jaisalmer,IN,2021-11-22 17:15:52,26.9147,70.9181,72.57,13,0,3.69
125,Port Lincoln,AU,2021-11-22 17:15:52,-34.7333,135.8667,64.22,63,100,5.55
126,Narsaq,GL,2021-11-22 17:15:52,60.9167,-46.05,26.82,74,58,6.22
127,Charters Towers,AU,2021-11-22 17:15:53,-20.1,146.2667,71.65,73,2,1.77
128,Xixiang,CN,2021-11-22 17:15:53,35.1628,112.865,35.96,27,0,5.79
129,Yellowknife,CA,2021-11-22 17:15:41,62.456,-114.3525,-0.58,94,75,11.5
130,Omsukchan,RU,2021-11-22 17:15:54,62.5333,155.8,-24.39,98,33,2.55
131,Victoria,HK,2021-11-22 17:15:54,22.2855,114.1577,62.94,78,100,1.01
132,Esperance,AU,2021-11-22 17:11:06,-33.8667,121.9,57.04,80,69,23.44
133,Iqaluit,CA,2021-11-22 17:15:55,63.7506,-68.5145,26.33,80,75,14.97
134,Kristiansund,NO,2021-11-22 17:15:55,63.1115,7.732,42.85,70,75,23.02
135,Keti Bandar,PK,2021-11-22 17:16:55,24.1447,67.4497,77.56,42,4,8.14
136,Ovsyanka,RU,2021-11-22 17:16:56,55.9575,92.5519,34.77,86,100,7.29
137,Bamako,ML,2021-11-22 17:15:17,12.65,-8.0,97.21,13,0,8.05
138,Jumla,NP,2021-11-22 17:16:56,29.2747,82.1838,40.51,35,0,4.29
139,Limenaria,GR,2021-11-22 17:16:56,40.6261,24.5786,56.95,74,100,2.48
140,Tuktoyaktuk,CA,2021-11-22 17:16:57,69.4541,-133.0374,-14.8,76,75,2.3
141,Avarua,CK,2021-11-22 17:14:55,-21.2078,-159.775,73.45,94,40,3.44
142,Ust-Nera,RU,2021-11-22 17:16:57,64.5667,143.2,-11.7,99,96,3.87
143,La Baule-Escoublac,FR,2021-11-22 17:16:57,47.2922,-2.364,48.87,74,20,10.36
144,Beringovskiy,RU,2021-11-22 17:16:57,63.05,179.3167,-5.8,99,68,14.16
145,Carahue,CL,2021-11-22 17:16:58,-38.7,-73.1667,70.0,39,59,7.09
146,Pandan,PH,2021-11-22 17:16:58,14.0453,124.1694,80.01,87,72,6.42
147,Sananduva,BR,2021-11-22 17:16:58,-27.9497,-51.8067,84.4,39,0,3.49
148,Okha,RU,2021-11-22 17:16:59,53.5739,142.9478,31.46,79,93,26.26
149,Fairbanks,US,2021-11-22 17:16:59,64.8378,-147.7164,2.61,68,90,8.05
150,Deputatskiy,RU,2021-11-22 17:17:00,69.3,139.9,-15.99,97,100,4.14
151,Siddipet,IN,2021-11-22 17:17:00,18.1,78.85,75.24,82,81,3.2
