City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1730,Edea,CM,87.58,light rain,3.8,10.1333,Micotel Hotel
1738,Sabang,ID,82.04,light rain,5.8933,95.3214,Hotel Citra
1744,Ambilobe,MG,78.26,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
1747,Pedasi,PA,80.85,broken clouds,7.5333,-80.0333,Selina Pedasi
1751,Kota Kinabalu,MY,80.58,few clouds,5.9749,116.0724,Gaya Centre Hotel
1756,Ouesso,CG,79.99,scattered clouds,1.6136,16.0517,ABENIE Hotel
1760,Camocim,BR,88.86,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
1761,Asuncion,PY,85.44,few clouds,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
1763,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
1768,Manzanillo,CU,82.11,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
1773,Moranbah,AU,75.06,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
1774,Mersing,MY,76.91,overcast clouds,2.4312,103.8405,Timotel Hotel
1777,Maningrida,AU,82.35,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
1778,Sokoni,TZ,82.26,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
1780,Panaba,MX,83.41,scattered clouds,21.2833,-88.2667,Hotel California
1784,Malpe,IN,79.9,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
1787,Torit,SS,81.27,broken clouds,4.4133,32.5678,Diplomat Guest House
1790,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
1794,Beberibe,BR,89.64,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
1803,Mvomero,TZ,82.15,overcast clouds,-6.25,38.6667,Kisampa Bush Retreat
1804,Morondava,MG,78.3,clear sky,-20.2833,44.2833,La Case Bambou
1815,Cukai,MY,76.95,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
1818,Mahibadhoo,MV,79.36,overcast clouds,3.7833,72.9667,Omadhoo Inn
1828,Saint-Georges,GD,85.68,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
1829,Tucuman,AR,89.6,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
