City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Jamestown,US,42.097,-79.2353,29.84,69,90,11.5,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,1.36,96,100,2.77,overcast clouds
70,Norman Wells,CA,65.282,-126.8329,-13.61,95,99,7.02,overcast clouds
71,Atuona,PF,-9.8,-139.0333,77.63,78,11,19.6,few clouds
72,Pevek,RU,69.7008,170.3133,-19.19,91,9,4.99,clear sky
73,Weligama,LK,5.9667,80.4167,76.82,91,100,7.25,overcast clouds
74,Iqaluit,CA,63.7506,-68.5145,20.75,88,100,8.43,light snow
75,San Patricio,US,28.017,-97.5169,55.26,53,100,5.59,overcast clouds
76,Udachnyy,RU,66.4167,112.4,-14.85,95,59,4.38,broken clouds
77,Vila Velha,BR,-20.3297,-40.2925,76.95,78,90,8.05,light rain
78,Orlik,RU,52.5178,99.825,-14.84,93,28,3.15,scattered clouds
79,Dobrljin,BA,45.1533,16.4775,42.69,83,26,3.29,scattered clouds
80,Mgachi,RU,51.05,142.2667,19.81,95,68,5.08,broken clouds
81,Natal,BR,-5.795,-35.2094,88.45,62,75,16.11,broken clouds
82,Sorata,BO,-15.7667,-68.6333,53.24,76,97,6.8,overcast clouds
83,Aklavik,CA,68.2191,-135.0107,-9.69,91,100,18.72,overcast clouds
84,Champaign,US,40.1334,-88.2001,37.47,75,75,13.8,broken clouds
85,Nizhyn,UA,51.048,31.8869,46.02,88,93,11.03,overcast clouds
86,Chuy,UY,-33.6971,-53.4616,72.27,71,99,10.69,overcast clouds
87,Chokurdakh,RU,70.6333,147.9167,-34.35,100,70,2.68,broken clouds
88,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,64,63,8.79,broken clouds
89,Lakatoro,VU,-16.0999,167.4164,79.61,81,29,4.52,scattered clouds
90,Charters Towers,AU,-20.1,146.2667,75.83,80,74,10.76,broken clouds
91,Baykit,RU,61.67,96.37,4.44,96,100,4.79,overcast clouds
92,Hirara,JP,24.8,125.2833,73.04,64,100,28.92,overcast clouds
93,Rio Gallegos,AR,-51.6226,-69.2181,62.65,27,40,11.5,scattered clouds
94,Saint-Pierre,RE,-21.3393,55.4781,78.44,83,90,3.44,light rain
95,Saint-Philippe,RE,-21.3585,55.7679,78.35,83,80,4.45,light rain
96,Portland,US,45.5234,-122.6762,52.39,87,90,6.91,overcast clouds
97,Mwinilunga,ZM,-11.7358,24.4293,68.43,88,73,4.97,light rain
98,Katsina,NG,12.9894,7.6006,89.71,10,17,11.18,few clouds
99,Arraial Do Cabo,BR,-22.9661,-42.0278,87.66,51,20,17.27,few clouds
100,Tura,IN,25.5198,90.2201,60.44,78,0,3.65,clear sky
101,Castro,BR,-24.7911,-50.0119,78.19,50,4,7.9,clear sky
102,Svetlyy,RU,54.675,20.1347,37.45,98,100,4.09,overcast clouds
103,Saskylakh,RU,71.9167,114.0833,-2.24,91,100,11.34,overcast clouds
104,Bredasdorp,ZA,-34.5322,20.0403,72.45,49,62,11.74,broken clouds
105,Ayan,RU,56.45,138.1667,25.5,61,100,17.09,overcast clouds
106,Mogadishu,SO,2.0371,45.3438,80.56,77,70,8.81,light rain
107,New Norfolk,AU,-42.7826,147.0587,45.9,96,0,3.15,clear sky
108,Kabalo,CD,-6.05,26.9167,75.85,81,90,2.28,light rain
109,Kavaratti,IN,10.5669,72.642,82.63,75,100,2.75,overcast clouds
110,Carutapera,BR,-1.195,-46.02,87.46,59,11,8.7,few clouds
111,Mount Gambier,AU,-37.8333,140.7667,45.9,92,0,6.38,clear sky
112,Alyangula,AU,-13.8483,136.4192,81.79,65,49,3.78,scattered clouds
113,Dikson,RU,73.5069,80.5464,-8.7,97,100,8.88,overcast clouds
114,Port Elizabeth,ZA,-33.918,25.5701,68.27,75,43,9.78,scattered clouds
115,Gigmoto,PH,13.7796,124.39,79.7,90,94,8.1,overcast clouds
116,Meulaboh,ID,4.1363,96.1285,77.4,87,100,5.01,overcast clouds
117,Kapaa,US,22.0752,-159.319,67.98,88,20,9.22,few clouds
118,Chulman,RU,56.8479,124.9104,-11.38,99,74,2.19,broken clouds
119,Miguel Pereira,BR,-22.4539,-43.4689,84.13,62,41,7.47,light rain
120,Alofi,NU,-19.0595,-169.9187,79.97,77,94,11.61,overcast clouds
121,Vardo,NO,70.3705,31.1107,23.59,72,79,12.39,broken clouds
122,Galesong,ID,-5.3166,119.3661,77.02,82,100,6.49,overcast clouds
123,Sao Filipe,CV,14.8961,-24.4956,79.45,71,40,10.74,scattered clouds
124,Gizo,SB,-8.103,156.8419,81.95,75,97,3.6,light rain
125,Nome,US,64.5011,-165.4064,-18.33,69,1,0.0,clear sky
126,Awbari,LY,26.5921,12.7805,78.04,21,96,4.74,overcast clouds
127,Balclutha,NZ,-46.2339,169.75,38.52,99,74,0.34,broken clouds
128,Yar-Sale,RU,66.8333,70.8333,6.84,96,100,5.59,light snow
129,Khor,RU,47.8861,134.9464,6.33,97,16,5.41,few clouds
